ticker,title,subtitle,yes_price,no_price,volume,open_interest,close_time,days_to_resolution,is_imminent,is_new_market,category
KXGDP-26JAN30-T1.0,Will **real GDP** increase by more than 1.0% in Q4 2025?,1.0%,0.86,0.14,67009,43061,2026-01-30T13:29:00Z,38,True,False,
KXCPICOMBO-25DEC-0129,Will CPI be Above 0.1% AND YOYCPI be Above 2.9% for Dec 2025?,,0.09,0.91,61166,21516,2026-01-13T13:29:00Z,21,True,False,
KXGDP-26JAN30-T2.0,Will **real GDP** increase by more than 2.0% in Q4 2025?,2.0%,0.53,0.47,52623,24300,2026-01-30T13:29:00Z,38,True,False,
KXCPICOMBO-25DEC-027,Will CPI be Above 0% AND YOYCPI be Above 2.7% for Dec 2025?,,0.35,0.65,48591,12239,2026-01-13T13:29:00Z,21,True,False,
KXGDP-26JAN30-T3.0,Will **real GDP** increase by more than 3.0% in Q4 2025?,3.0%,0.09,0.91,33957,14854,2026-01-30T13:29:00Z,38,True,False,
KXCPI-25DEC-T0.3,Will CPI rise more than 0.3% in December 2025?,0.3%,0.11,0.89,31368,16858,2026-01-13T13:29:00Z,21,True,False,
KXGDP-26JAN30-T1.5,Will **real GDP** increase by more than 1.5% in Q4 2025?,1.5%,0.75,0.25,28682,14127,2026-01-30T13:29:00Z,38,True,False,
KXCPI-25DEC-T0.2,Will CPI rise more than 0.2% in December 2025?,0.2%,0.45,0.55,23228,13514,2026-01-13T13:29:00Z,21,True,False,
KXGDP-26JAN30-T2.5,Will **real GDP** increase by more than 2.5% in Q4 2025?,2.5%,0.32,0.6799999999999999,22606,11036,2026-01-30T13:29:00Z,38,True,False,
KXCPI-25DEC-T0.1,Will CPI rise more than 0.1% in December 2025?,0.1%,0.8,0.19999999999999996,17617,14446,2026-01-13T13:29:00Z,21,True,False,
KXGDP-26JAN30-T3.5,Will **real GDP** increase by more than 3.5% in Q4 2025?,3.5%,0.03,0.97,11558,8556,2026-01-30T13:29:00Z,38,True,False,
KXCPI-25DEC-T0.0,Will CPI rise more than 0.0% in December 2025?,0.0%,0.96,0.040000000000000036,5100,5100,2026-01-13T13:29:00Z,21,True,False,
KXGDP-26JAN30-T1.75,Will **real GDP** increase by more than 1.75% in Q4 2025?,1.75%,0.63,0.37,5064,2684,2026-01-30T13:29:00Z,38,True,False,
KXHIGHCHI-25DEC23-B47.5,"Will the high temp in Chicago be 47-48° on Dec 23, 2025?",47° to 48°,0.14,0.86,6255,4248,2025-12-24T05:59:00Z,0,False,True,
KXGDP-26JAN30-T0,Will **real GDP** increase by more than 0% in Q4 2025?,0%,0.92,0.07999999999999996,4606,4606,2026-01-30T13:29:00Z,38,True,False,
KXHIGHCHI-25DEC23-B49.5,"Will the high temp in Chicago be 49-50° on Dec 23, 2025?",49° to 50°,0.31,0.69,5765,4263,2025-12-24T05:59:00Z,0,False,True,
KXJOBLESSCLAIMS-25DEC24-225000,"How many initial jobless claims will there be the week ending Dec 20, 2025?",,0.55,0.44999999999999996,4058,2115,2025-12-24T13:30:00Z,1,True,False,
KXGDP-26JAN30-T.5,Will **real GDP** increase by more than 0.5% in Q4 2025?,.5%,0.91,0.08999999999999997,3566,3453,2026-01-30T13:29:00Z,38,True,False,
KXCPICOMBO-25DEC-0231,Will CPI be Above 0.2% AND YOYCPI be Above 3.1% for Dec 2025?,,0.03,0.97,3531,3287,2026-01-13T13:29:00Z,21,True,False,
KXHIGHCHI-25DEC23-T45,"Will the high temp in Chicago be <45° on Dec 23, 2025?",44° or below,0.01,0.99,3894,3158,2025-12-24T05:59:00Z,0,False,True,
KXHIGHCHI-25DEC23-B45.5,"Will the high temp in Chicago be 45-46° on Dec 23, 2025?",45° to 46°,0.06,0.94,3425,2837,2025-12-24T05:59:00Z,0,False,True,
KXHIGHCHI-25DEC23-T52,"Will the high temp in Chicago be >52° on Dec 23, 2025?",53° or above,0.12,0.88,3387,2792,2025-12-24T05:59:00Z,0,False,True,
KXHIGHCHI-25DEC23-B51.5,"Will the high temp in Chicago be 51-52° on Dec 23, 2025?",51° to 52°,0.35,0.65,3134,2436,2025-12-24T05:59:00Z,0,False,True,
KXJOBLESSCLAIMS-25DEC24-230000,"How many initial jobless claims will there be the week ending Dec 20, 2025?",,0.42,0.5800000000000001,2205,1803,2025-12-24T13:30:00Z,1,True,False,
KXJOBLESSCLAIMS-25DEC24-215000,"How many initial jobless claims will there be the week ending Dec 20, 2025?",,0.77,0.22999999999999998,1482,1470,2025-12-24T13:30:00Z,1,True,False,
