ticker,title,subtitle,yes_price,no_price,volume,open_interest,close_time,days_to_resolution,is_imminent,is_new_market,category
KXGDP-26JAN30-T1.0,Will **real GDP** increase by more than 1.0% in Q4 2025?,1.0%,0.93,0.06999999999999995,117762,88834,2026-01-30T13:29:00Z,31,True,False,
KXGDP-26JAN30-T2.0,Will **real GDP** increase by more than 2.0% in Q4 2025?,2.0%,0.77,0.22999999999999998,72291,38787,2026-01-30T13:29:00Z,31,True,False,
KXCPICOMBO-25DEC-0129,Will CPI be Above 0.1% AND YOYCPI be Above 2.9% for Dec 2025?,,0.08,0.92,63505,21838,2026-01-13T13:29:00Z,14,True,False,
KXGDP-26JAN30-T3.0,Will **real GDP** increase by more than 3.0% in Q4 2025?,3.0%,0.36,0.64,63387,25391,2026-01-30T13:29:00Z,31,True,False,
KXCPI-25DEC-T0.2,Will CPI rise more than 0.2% in December 2025?,0.2%,0.44,0.56,54006,32194,2026-01-13T13:29:00Z,14,True,False,
KXCPI-25DEC-T0.3,Will CPI rise more than 0.3% in December 2025?,0.3%,0.16,0.84,51900,32011,2026-01-13T13:29:00Z,14,True,False,
KXGDP-26JAN30-T0,Will **real GDP** increase by more than 0% in Q4 2025?,0%,0.96,0.040000000000000036,50619,45388,2026-01-30T13:29:00Z,31,True,False,
KXCPICOMBO-25DEC-027,Will CPI be Above 0% AND YOYCPI be Above 2.7% for Dec 2025?,,0.33,0.6699999999999999,50002,11750,2026-01-13T13:29:00Z,14,True,False,
KXGDP-26JAN30-T1.5,Will **real GDP** increase by more than 1.5% in Q4 2025?,1.5%,0.86,0.14,47553,30864,2026-01-30T13:29:00Z,31,True,False,
KXGDP-26JAN30-T2.5,Will **real GDP** increase by more than 2.5% in Q4 2025?,2.5%,0.55,0.44999999999999996,47340,20698,2026-01-30T13:29:00Z,31,True,False,
KXCPI-25DEC-T0.1,Will CPI rise more than 0.1% in December 2025?,0.1%,0.76,0.24,42676,32287,2026-01-13T13:29:00Z,14,True,False,
KXGDP-26JAN30-T-0.5,Will **real GDP** increase by more than -0.5% in Q4 2025?,-0.5%,0.96,0.040000000000000036,40000,40000,2026-01-30T13:29:00Z,31,True,False,
KXGDP-26JAN30-T.5,Will **real GDP** increase by more than 0.5% in Q4 2025?,.5%,0.95,0.050000000000000044,34644,33166,2026-01-30T13:29:00Z,31,True,False,
KXGDP-26JAN30-T1.25,Will **real GDP** increase by more than 1.25% in Q4 2025?,1.25%,0.9,0.09999999999999998,21121,20669,2026-01-30T13:29:00Z,31,True,False,
KXHIGHCHI-25DEC29-T24,"Will the high temp in Chicago be <24° on Dec 29, 2025?",23° or below,0.01,0.99,27589,16523,2025-12-30T05:59:00Z,0,False,True,
KXGDP-26JAN30-T3.5,Will **real GDP** increase by more than 3.5% in Q4 2025?,3.5%,0.25,0.75,16785,8210,2026-01-30T13:29:00Z,31,True,False,
KXHIGHCHI-25DEC29-B26.5,"Will the high temp in Chicago be 26-27° on Dec 29, 2025?",26° to 27°,0.03,0.97,20878,9169,2025-12-30T05:59:00Z,0,False,True,
KXHIGHCHI-25DEC29-B24.5,"Will the high temp in Chicago be 24-25° on Dec 29, 2025?",24° to 25°,0.96,0.040000000000000036,14424,6612,2025-12-30T05:59:00Z,0,False,True,
KXGDP-26JAN30-T1.75,Will **real GDP** increase by more than 1.75% in Q4 2025?,1.75%,0.76,0.24,9220,6399,2026-01-30T13:29:00Z,31,True,False,
KXHIGHCHI-25DEC29-B28.5,"Will the high temp in Chicago be 28-29° on Dec 29, 2025?",28° to 29°,0.01,0.99,11971,9436,2025-12-30T05:59:00Z,0,False,True,
KXCPI-25DEC-T0.0,Will CPI rise more than 0.0% in December 2025?,0.0%,0.92,0.07999999999999996,5276,5276,2026-01-13T13:29:00Z,14,True,False,
KXCPICOMBO-25DEC-0231,Will CPI be Above 0.2% AND YOYCPI be Above 3.1% for Dec 2025?,,0.05,0.95,5173,4629,2026-01-13T13:29:00Z,14,True,False,
KXHIGHCHI-25DEC30-B28.5,"Will the high temp in Chicago be 28-29° on Dec 30, 2025?",28° to 29°,0.36,0.64,1901,1678,2025-12-31T05:59:00Z,1,True,True,
KXHIGHCHI-25DEC29-T31,"Will the high temp in Chicago be >31° on Dec 29, 2025?",32° or above,0.01,0.99,3715,3715,2025-12-30T05:59:00Z,0,False,True,
KXHIGHCHI-25DEC30-B26.5,"Will the high temp in Chicago be 26-27° on Dec 30, 2025?",26° to 27°,0.27,0.73,1792,842,2025-12-31T05:59:00Z,1,True,True,
KXJOBLESSCLAIMS-25DEC31-215000,"How many initial jobless claims will there be the week ending Dec 27, 2025?",,0.64,0.36,2633,1807,2025-12-31T13:30:00Z,1,True,False,
KXHIGHCHI-25DEC30-T26,"Will the high temp in Chicago be <26° on Dec 30, 2025?",25° or below,0.12,0.88,1582,1155,2025-12-31T05:59:00Z,1,True,True,
KXJOBLESSCLAIMS-25DEC31-220000,"How many initial jobless claims will there be the week ending Dec 27, 2025?",,0.18,0.8200000000000001,2314,1658,2025-12-31T13:30:00Z,1,True,False,
KXJOBLESSCLAIMS-25DEC31-225000,"How many initial jobless claims will there be the week ending Dec 27, 2025?",,0.18,0.8200000000000001,1737,1544,2025-12-31T13:30:00Z,1,True,False,
KXJOBLESSCLAIMS-25DEC31-210000,"How many initial jobless claims will there be the week ending Dec 27, 2025?",,0.73,0.27,1607,1461,2025-12-31T13:30:00Z,1,True,False,
KXHIGHCHI-25DEC29-B30.5,"Will the high temp in Chicago be 30-31° on Dec 29, 2025?",30° to 31°,0.01,0.99,1928,1301,2025-12-30T05:59:00Z,0,False,True,
KXJOBLESSCLAIMS-25DEC31-200000,"How many initial jobless claims will there be the week ending Dec 27, 2025?",,0.93,0.06999999999999995,1401,1177,2025-12-31T13:30:00Z,1,True,False,
KXCPI-25DEC-T0.4,Will CPI rise more than 0.4% in December 2025?,0.4%,0.06,0.94,1171,1171,2026-01-13T13:29:00Z,14,True,False,
KXHIGHCHI-25DEC30-B30.5,"Will the high temp in Chicago be 30-31° on Dec 30, 2025?",30° to 31°,0.21,0.79,680,385,2025-12-31T05:59:00Z,1,True,True,
KXJOBLESSCLAIMS-25DEC31-270000,"How many initial jobless claims will there be the week ending Dec 27, 2025?",,0.1,0.9,988,988,2025-12-31T13:30:00Z,1,True,False,
KXCPICOMBO-25DEC-0332,Will CPI be Above 0.3% AND YOYCPI be Above 3.2% for Dec 2025?,,0.01,0.99,948,822,2026-01-13T13:29:00Z,14,True,False,
KXCPICOMBO-25DEC-0124,Will CPI be Above -0.1% AND YOYCPI be Above 2.4% for Dec 2025?,,0.94,0.06000000000000005,850,850,2026-01-13T13:29:00Z,14,True,False,
KXHIGHCHI-25DEC30-B32.5,"Will the high temp in Chicago be 32-33° on Dec 30, 2025?",32° to 33°,0.03,0.97,466,450,2025-12-31T05:59:00Z,1,True,True,
KXHIGHCHI-25DEC30-T33,"Will the high temp in Chicago be >33° on Dec 30, 2025?",34° or above,0.01,0.99,213,213,2025-12-31T05:59:00Z,1,True,True,
KXJOBLESSCLAIMS-25DEC31-230000,"How many initial jobless claims will there be the week ending Dec 27, 2025?",,0.1,0.9,160,160,2025-12-31T13:30:00Z,1,True,False,
KXJOBLESSCLAIMS-25DEC31-250000,"How many initial jobless claims will there be the week ending Dec 27, 2025?",,0.12,0.88,123,72,2025-12-31T13:30:00Z,1,True,False,
KXCPI-25DEC-T-0.1,Will CPI rise more than -0.1% in December 2025?,-0.1%,0.96,0.040000000000000036,23,23,2026-01-13T13:29:00Z,14,True,False,
KXJOBLESSCLAIMS-25DEC31-240000,"How many initial jobless claims will there be the week ending Dec 27, 2025?",,0.14,0.86,11,11,2025-12-31T13:30:00Z,1,True,False,
KXJOBLESSCLAIMS-25DEC31-260000,"How many initial jobless claims will there be the week ending Dec 27, 2025?",,0.4,0.6,4,4,2025-12-31T13:30:00Z,1,True,False,
