timestamp,ticker,side,entry_price,current_price,unrealized_pnl,pnl_pct,status
2025-12-29T19:03:49.028330,KXCPICOMBO-25DEC-027,yes,0.33,,,,open
2025-12-29T19:03:49.028330,_PORTFOLIO_TOTAL,,204.93,,,,summary
2025-12-29T20:03:49.332935,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T20:03:49.332935,_PORTFOLIO_TOTAL,,204.93,204.93,0.0,0.0,summary
2025-12-29T20:21:59.142097,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T20:21:59.142097,KXCPI-25DEC-T0.3,yes,0.14,,,,open
2025-12-29T20:21:59.142097,_PORTFOLIO_TOTAL,,361.87,,,,summary
2025-12-29T21:21:59.701762,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T21:21:59.701762,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-29T21:21:59.701762,_PORTFOLIO_TOTAL,,361.87,384.29,22.42,6.2,summary
2025-12-29T21:30:08.388632,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T21:30:08.388632,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-29T21:30:08.388632,KXGDP-26JAN30-T3.0,yes,0.36,,,,open
2025-12-29T21:30:08.388632,_PORTFOLIO_TOTAL,,549.0699999999999,,,,summary
2025-12-29T22:30:09.112093,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T22:30:09.112093,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-29T22:30:09.112093,KXGDP-26JAN30-T3.0,yes,0.36,0.36,0.0,0.0,open
2025-12-29T22:30:09.112093,_PORTFOLIO_TOTAL,,549.0699999999999,571.4899999999999,22.42,4.08,summary
2025-12-29T22:38:21.720094,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T22:38:21.720094,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-29T22:38:21.720094,KXGDP-26JAN30-T3.0,yes,0.36,0.36,0.0,0.0,open
2025-12-29T22:38:21.720094,_PORTFOLIO_TOTAL,,549.0699999999999,571.4899999999999,22.42,4.08,summary
2025-12-29T23:38:22.496770,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T23:38:22.496770,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-29T23:38:22.496770,KXGDP-26JAN30-T3.0,yes,0.36,0.36,0.0,0.0,open
2025-12-29T23:38:22.496770,_PORTFOLIO_TOTAL,,549.0699999999999,571.4899999999999,22.42,4.08,summary
2025-12-29T23:51:49.707096,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-29T23:51:49.707096,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-29T23:51:49.707096,KXGDP-26JAN30-T3.0,yes,0.36,0.36,0.0,0.0,open
2025-12-29T23:51:49.707096,KXCPI-25DEC-T0.2,yes,0.45,,,,open
2025-12-29T23:51:49.707096,_PORTFOLIO_TOTAL,,821.77,,,,summary
2025-12-30T00:51:50.955457,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T00:51:50.955457,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T00:51:50.955457,KXGDP-26JAN30-T3.0,yes,0.36,0.36,0.0,0.0,open
2025-12-30T00:51:50.955457,KXCPI-25DEC-T0.2,yes,0.45,0.45,0.0,0.0,open
2025-12-30T00:51:50.955457,_PORTFOLIO_TOTAL,,821.77,844.1899999999999,22.42,2.73,summary
2025-12-30T01:06:17.420864,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T01:06:17.420864,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T01:06:17.420864,KXGDP-26JAN30-T3.0,yes,0.36,0.36,0.0,0.0,open
2025-12-30T01:06:17.420864,KXCPI-25DEC-T0.2,yes,0.45,0.45,0.0,0.0,open
2025-12-30T01:06:17.420864,_PORTFOLIO_TOTAL,,821.77,844.1899999999999,22.42,2.73,summary
2025-12-30T02:06:18.461324,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T02:06:18.461324,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T02:06:18.461324,KXGDP-26JAN30-T3.0,yes,0.36,0.35,-5.2,-2.78,open
2025-12-30T02:06:18.461324,KXCPI-25DEC-T0.2,yes,0.45,0.45,0.0,0.0,open
2025-12-30T02:06:18.461324,_PORTFOLIO_TOTAL,,821.77,838.99,17.22,2.1,summary
2025-12-30T02:14:34.321290,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T02:14:34.321290,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T02:14:34.321290,KXGDP-26JAN30-T3.0,yes,0.36,0.35,-5.2,-2.78,open
2025-12-30T02:14:34.321290,KXCPI-25DEC-T0.2,yes,0.45,0.45,0.0,0.0,open
2025-12-30T02:14:34.321290,_PORTFOLIO_TOTAL,,821.77,838.99,17.22,2.1,summary
2025-12-30T03:14:35.290120,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T03:14:35.290120,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T03:14:35.290120,KXGDP-26JAN30-T3.0,yes,0.36,0.34,-10.4,-5.56,open
2025-12-30T03:14:35.290120,KXCPI-25DEC-T0.2,yes,0.45,0.46,6.06,2.22,open
2025-12-30T03:14:35.290120,_PORTFOLIO_TOTAL,,821.77,839.85,18.08,2.2,summary
2025-12-30T03:22:57.789309,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T03:22:57.789309,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T03:22:57.789309,KXGDP-26JAN30-T3.0,yes,0.36,0.34,-10.4,-5.56,open
2025-12-30T03:22:57.789309,KXCPI-25DEC-T0.2,yes,0.45,0.46,6.06,2.22,open
2025-12-30T03:22:57.789309,KXHIGHCHI-25DEC30-T26,yes,0.18,,,,open
2025-12-30T03:22:57.789309,_PORTFOLIO_TOTAL,,1013.83,,,,summary
2025-12-30T04:23:07.998136,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T04:23:07.998136,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T04:23:07.998136,KXGDP-26JAN30-T3.0,yes,0.36,0.35,-5.2,-2.78,open
2025-12-30T04:23:07.998136,KXCPI-25DEC-T0.2,yes,0.45,0.46,6.06,2.22,open
2025-12-30T04:23:07.998136,KXHIGHCHI-25DEC30-T26,yes,0.18,0.19,10.67,5.56,open
2025-12-30T04:23:07.998136,_PORTFOLIO_TOTAL,,1013.83,1047.78,33.95,3.35,summary
2025-12-30T04:31:00.525076,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T04:31:00.525076,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T04:31:00.525076,KXGDP-26JAN30-T3.0,yes,0.36,0.35,-5.2,-2.78,open
2025-12-30T04:31:00.525076,KXCPI-25DEC-T0.2,yes,0.45,0.46,6.06,2.22,open
2025-12-30T04:31:00.525076,_PORTFOLIO_TOTAL,,821.77,845.05,23.28,2.83,summary
2025-12-30T05:31:01.473212,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T05:31:01.473212,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T05:31:01.473212,KXGDP-26JAN30-T3.0,yes,0.36,0.35,-5.2,-2.78,open
2025-12-30T05:31:01.473212,KXCPI-25DEC-T0.2,yes,0.45,0.46,6.06,2.22,open
2025-12-30T05:31:01.473212,_PORTFOLIO_TOTAL,,821.77,845.05,23.28,2.83,summary
2025-12-30T05:39:03.715894,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T05:39:03.715894,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T05:39:03.715894,KXGDP-26JAN30-T3.0,yes,0.36,0.35,-5.2,-2.78,open
2025-12-30T05:39:03.715894,KXCPI-25DEC-T0.2,yes,0.45,0.46,6.06,2.22,open
2025-12-30T05:39:03.715894,_PORTFOLIO_TOTAL,,821.77,845.05,23.28,2.83,summary
2025-12-30T06:39:04.695514,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T06:39:04.695514,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T06:39:04.695514,KXGDP-26JAN30-T3.0,yes,0.36,0.35,-5.2,-2.78,open
2025-12-30T06:39:04.695514,KXCPI-25DEC-T0.2,yes,0.45,0.46,6.06,2.22,open
2025-12-30T06:39:04.695514,_PORTFOLIO_TOTAL,,821.77,845.05,23.28,2.83,summary
2025-12-30T06:55:50.358576,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T06:55:50.358576,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T06:55:50.358576,KXGDP-26JAN30-T3.0,yes,0.36,0.35,-5.2,-2.78,open
2025-12-30T06:55:50.358576,KXCPI-25DEC-T0.2,yes,0.45,0.46,6.06,2.22,open
2025-12-30T06:55:50.358576,_PORTFOLIO_TOTAL,,821.77,845.05,23.28,2.83,summary
2025-12-30T07:55:51.342395,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T07:55:51.342395,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T07:55:51.342395,KXGDP-26JAN30-T3.0,yes,0.36,0.37,5.2,2.78,open
2025-12-30T07:55:51.342395,KXCPI-25DEC-T0.2,yes,0.45,0.46,6.06,2.22,open
2025-12-30T07:55:51.342395,_PORTFOLIO_TOTAL,,821.77,855.4499999999999,33.68,4.1,summary
2025-12-30T08:03:03.926030,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T08:03:03.926030,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T08:03:03.926030,KXGDP-26JAN30-T3.0,yes,0.36,0.37,5.2,2.78,open
2025-12-30T08:03:03.926030,KXCPI-25DEC-T0.2,yes,0.45,0.46,6.06,2.22,open
2025-12-30T08:03:03.926030,_PORTFOLIO_TOTAL,,821.77,855.4499999999999,33.68,4.1,summary
2025-12-30T09:03:04.900684,KXCPICOMBO-25DEC-027,yes,0.33,0.33,0.0,0.0,open
2025-12-30T09:03:04.900684,KXCPI-25DEC-T0.3,yes,0.14,0.16,22.42,14.29,open
2025-12-30T09:03:04.900684,KXGDP-26JAN30-T3.0,yes,0.36,0.36,0.0,0.0,open
2025-12-30T09:03:04.900684,KXCPI-25DEC-T0.2,yes,0.45,0.46,6.06,2.22,open
