timestamp,market_title,search_query,response_length,response_preview
2025-12-12T03:28:47.564055,Falcons vs. Buccaneers,Falcons vs. Buccaneers,3820,"The Atlanta Falcons and Tampa Bay Buccaneers are set to face off on Thursday Night Football, December 11, 2025, at Raymond James Stadium in Tampa. The Falcons, with a 4-9 record, have been eliminated "
2025-12-12T03:28:56.995707,Clippers vs. Rockets,Clippers vs. Rockets,3630,"The Los Angeles Clippers are set to face the Houston Rockets on December 12, 2025, at the Toyota Center in Houston. The Rockets enter the game with a 15-6 record, placing them fourth in the Western Co"
2025-12-12T03:29:05.874562,Panthers vs. Avalanche,Panthers vs. Avalanche,2708,"The Florida Panthers are set to face the Colorado Avalanche on Thursday, December 12, 2025, at Ball Arena in Denver. The game is scheduled to begin at 9:30 p.m. EST. ([nhl.com](https://www.nhl.com/pan"
2025-12-12T03:34:35.531166,Will Salvador Nasralla win the 2025 Honduras presidential election?,Will Salvador Nasralla win the 2025 Honduras presidential election?,2126,"As of December 12, 2025, the Honduran presidential election remains unresolved, with Salvador Nasralla of the Liberal Party and Nasry Asfura of the National Party in a tight race. The National Elector"
2025-12-12T03:34:42.121717,Panthers vs. Saints,Panthers vs. Saints,2256,"
## NFL Schedule
- Carolina Panthers @ New Orleans Saints on Sunday, Dec 14, 2025 at 01:25 PM PST


The Carolina Panthers (7-6) are set to face the New Orleans Saints (3-10) on Sunday, December 14, 20"
2025-12-12T03:34:49.422170,Hawks vs. Pistons,Hawks vs. Pistons,3083,"
## NBA Schedule
- Hawks @ Pistons on Friday, Dec 12, 2025 at 04:00 PM PST


The Detroit Pistons (19-5) are set to host the Atlanta Hawks (14-11) on Friday, December 12, 2025. This matchup marks the t"
2025-12-12T03:40:17.023364,Hawks vs. Pistons: O/U 231.5,Hawks vs. Pistons: O/U 231.5,2358,"
## NBA Schedule
- Hawks @ Pistons on Friday, Dec 12, 2025 at 04:00 PM PST


The upcoming game between the Atlanta Hawks and the Detroit Pistons on December 12, 2025, has an over/under (O/U) set at 23"
2025-12-12T03:40:22.971913,Lighter market cap (FDV) >$1B one day after launch?,Lighter market cap (FDV) >$1B one day after launch?,1669,"The prediction market ""Lighter market cap (FDV) >$1B one day after launch?"" is currently active on Polymarket, with a 64.5% probability assigned to the ""Yes"" outcome, indicating a majority belief that"
2025-12-12T03:40:29.634462,Will lighter perform an airdrop by December 31? ,Will lighter perform an airdrop by December 31? ,1879,"Lighter, a decentralized perpetual contract exchange built on Ethereum Layer 2, is nearing its Token Generation Event (TGE), with expectations for an airdrop by December 31, 2025. The project has been"
2025-12-12T03:46:02.208561,Bulls vs. Hornets,Bulls vs. Hornets,3374,"The Chicago Bulls and Charlotte Hornets are set to face off on Friday, December 12, 2025, at the Spectrum Center in Charlotte. ([tickets.bullseyeeventgroup.com](https://tickets.bullseyeeventgroup.com/"
2025-12-12T03:46:08.542896,Will Kabuto 1st Edition card hit $100 by December 31?,Will Kabuto 1st Edition card hit $100 by December 31?,1625,"The first-edition Kabuto Pokémon card has experienced a significant surge in value due to the actions of an anonymous collector known as ""Kabuto King."" Since August 2025, Kabuto King has acquired 1,74"
2025-12-12T03:46:16.802112,Fed decreases interest rates by 25 bps after January 2026 meeting?,Fed decreases interest rates by 25 bps after January 2026 meeting?,3610,"As of December 12, 2025, the Federal Reserve has not yet held its January 2026 meeting, so no official decision has been made regarding a 25 basis point (bps) interest rate decrease. However, recent d"
2025-12-12T03:51:52.635940,Will US Lecce vs. Pisa SC end in a draw?,Will US Lecce vs. Pisa SC end in a draw?,2510,"The upcoming Serie A match between US Lecce and Pisa SC is scheduled for December 12, 2025, at Lecce's Via del Mare stadium. Both teams are positioned near the bottom of the league table, making this "
2025-12-12T03:52:00.461261,Will Israel strike Gaza on December 12?,Will Israel strike Gaza on December 12?,3400,"As of December 12, 2025, there is no specific information indicating that Israel plans to strike Gaza on this date. The situation remains complex, with recent developments influencing the dynamics bet"
2025-12-12T03:52:07.699228,LoL: Dplus KIA vs Hanwha Life Esports - Game 1 Winner,LoL: Dplus KIA vs Hanwha Life Esports - Game 1 Winner,1919,"As of December 12, 2025, there is no publicly available information regarding the outcome of the KeSPA Cup 2025 Playoffs match between Dplus KIA and Hanwha Life Esports. The match is scheduled to take"
2025-12-12T03:57:38.762194,Red Wings vs. Oilers,Red Wings vs. Oilers,1800,"The Detroit Red Wings are set to face the Edmonton Oilers on Thursday, December 11, 2025, at Rogers Place in Edmonton. This matchup follows the Red Wings' 4-3 victory over the Calgary Flames on Wednes"
2025-12-12T03:57:44.527976,Will Trump sell 0 Gold Cards in 2025?,Will Trump sell 0 Gold Cards in 2025?,2145,"As of December 12, 2025, the ""Trump Gold Card"" immigration program has been officially launched, offering expedited U.S. residency to individuals who make a $1 million contribution. ([reuters.com](htt"
2025-12-12T03:57:52.494597,Panthers vs. Avalanche: O/U 6.5,Panthers vs. Avalanche: O/U 6.5,2622,"The upcoming NHL game between the Florida Panthers and the Colorado Avalanche is scheduled for Thursday, December 11, 2025, at 9:30 p.m. EST at Ball Arena in Denver. ([nhl.com](https://www.nhl.com/ava"
2025-12-12T04:03:25.459238,Cavaliers vs. Wizards,Cavaliers vs. Wizards,2744,"
## NBA Schedule
- Cavaliers @ Wizards on Friday, Dec 12, 2025 at 04:00 PM PST


The Cleveland Cavaliers (14-11) are set to face the Washington Wizards (3-19) today at 7 p.m. EST at Capital One Arena "
2025-12-12T04:03:32.952566,Trail Blazers vs. Pelicans,Trail Blazers vs. Pelicans,2447,"The Portland Trail Blazers and the New Orleans Pelicans are set to face off on December 12, 2025. Here's a concise overview of recent developments and statistics to inform your prediction:

**Recent P"
2025-12-12T04:03:42.193075,Cavaliers vs. Wizards: O/U 241.5,Cavaliers vs. Wizards: O/U 241.5,3272,"The Cleveland Cavaliers are set to face the Washington Wizards on December 12, 2025, at Capital One Arena in Washington, D.C. The over/under (O/U) for the game is set at 241.5 points.

**Recent Perfor"
2025-12-12T04:09:15.576861,Cavaliers vs. Wizards: O/U 241.5,Cavaliers vs. Wizards: O/U 241.5,3228,"
## NBA Schedule
- Cavaliers @ Wizards on Friday, Dec 12, 2025 at 04:00 PM PST


The Cleveland Cavaliers are set to face the Washington Wizards on December 12, 2025, at Capital One Arena in Washington"
